군집,대여소개수,일평균이용건수,거치대당일평균이용건수,출근시간비중,퇴근시간비중,주말비중,심야비중
0,901,26.270739884801305,2.394786157653967,0.2561065331011731,0.2332783536277818,0.24066965000171825,0.15328612809182354
1,385,100.31918210471679,8.711974321065075,0.17931230274235047,0.30373069515167817,0.24957397132388318,0.18157264641322376
2,424,30.25470291779384,2.497489439229939,0.1230623743024259,0.391572639857213,0.17344060007165008,0.1253079071747686
3,1072,28.500407946874628,2.5430115108774785,0.13176635299658723,0.29175594806192934,0.28020200044951044,0.22928271064979877
