계약일,자치구명,법정동명,건물명,물건금액(만원),평,평당금액(만원),층,건축년도,건물연령
2026-01-02,강서구,염창동,강변코아루,100000,25.64358532232205,3899.610711336558,2.0,2007.0,19.0
2026-01-02,구로구,구로동,구로두산,64500,19.157818313821583,3366.771672193273,16.0,1998.0,28.0
2026-01-02,동대문구,휘경동,휘경해모로프레스티지,96500,18.08089058293251,5337.126484858624,6.0,2021.0,5.0
2026-01-02,구로구,구로동,한신휴플러스(1280-1),84000,25.6950116465499,3269.1170237814927,5.0,2007.0,19.0
2026-01-02,성동구,마장동,마장동중앙하이츠,106500,18.150467374534895,5867.6175,4.0,1999.0,27.0
2026-01-02,동작구,신대방동,현대,110500,25.583083764406933,4319.260376019865,8.0,1996.0,30.0
2026-01-02,동작구,신대방동,동작협성휴포레시그니처,115000,25.70892700487038,4473.154401901489,25.0,2022.0,4.0
2026-01-02,관악구,신림동,동부,74500,18.265420334573616,4078.7454455117586,4.0,1993.0,33.0
2026-01-02,영등포구,당산동5가,당산효성타운2차,179000,25.525607284387572,7012.565773880066,14.0,2001.0,25.0
2026-01-02,은평구,녹번동,래미안베라힐즈,134500,25.698036724445657,5233.8628605061795,19.0,2019.0,7.0
2026-01-02,영등포구,당산동2가,당산2가현대홈타운,150000,25.038569743170886,5990.757520840884,12.0,1994.0,32.0
2026-01-02,성북구,돈암동,돈암동삼성,88500,34.68554315273618,2551.495290423862,12.0,1999.0,27.0
2026-01-02,영등포구,당산동4가,당산현대5차,185000,34.73999455485979,5325.274294670846,10.0,2000.0,26.0
2026-01-02,영등포구,당산동5가,당산효성1차,148000,18.105091206098557,8174.496240601504,1.0,1999.0,27.0
2026-01-02,성북구,장위동,래미안장위퍼스트하이,124700,25.6950116465499,4853.0820579232395,16.0,2020.0,6.0
2026-01-02,광진구,자양동,더샵스타시티,270000,42.23008742475119,6393.545845272206,36.0,2007.0,19.0
2026-01-02,마포구,대흥동,대흥동태영아파트,158000,17.968962700789547,8792.939393939394,2.0,1999.0,27.0
2026-01-02,강동구,천호동,래미안강동팰리스,168000,25.704086880237167,6535.925620807344,14.0,2017.0,9.0
2026-01-02,서초구,잠원동,대우아이빌,67200,10.702725595184077,6278.774448841153,8.0,2001.0,25.0
2026-01-02,마포구,창전동,마포웨스트리버태영데시앙,185000,22.622742535620294,8177.611521181001,16.0,2019.0,7.0
2026-01-02,동대문구,이문동,대성유니드아파트,84000,25.704086880237167,3267.962810403672,7.0,2012.0,14.0
2026-01-02,은평구,녹번동,래미안베라힐즈,128500,25.698036724445657,5000.381989405532,13.0,2019.0,7.0
2026-01-02,도봉구,창동,동아청솔,103000,25.704086880237167,4007.144874661645,19.0,1997.0,29.0
2026-01-02,동대문구,답십리동,동서울한양,63500,23.11462020147019,2747.1790341578326,5.0,1989.0,37.0
2026-01-02,강서구,방화동,방화그린,42000,12.027709713525123,3491.93661971831,14.0,1993.0,33.0
2026-01-02,서초구,서초동,롯데캐슬쥬피터,255500,49.62640287987416,5148.469064309661,6.0,2003.0,23.0
2026-01-02,중구,황학동,롯데캐슬,113000,25.67988625707112,4400.33101660973,22.0,2008.0,18.0
2026-01-02,도봉구,방학동,벽산아파트1,40000,19.172943703300362,2086.2732723256545,4.0,1991.0,35.0
2026-01-02,강북구,미아동,벽산라이브파크,68000,25.67988625707112,2647.9868064554125,23.0,2004.0,22.0
2026-01-02,금천구,시흥동,벽산,60000,34.73999455485979,1727.115987460815,9.0,2000.0,26.0
2026-01-02,은평구,응암동,백련산힐스테이트4차,85000,18.14441721874338,4684.636545515172,4.0,2018.0,8.0
2026-01-02,은평구,응암동,백련산에스케이뷰아이파크,113000,25.683818858335606,4399.657255927352,18.0,2020.0,6.0
2026-01-02,영등포구,당산동,리버뷰,10500,4.552742233112503,2306.302325581395,12.0,2015.0,11.0
2026-01-02,강서구,방화동,방화그린,51800,15.055812687176696,3440.53164556962,4.0,1993.0,33.0
2026-01-02,종로구,구기동,마운틴뷰,50000,17.962912544998034,2783.512967329067,5.0,2019.0,7.0
2026-01-02,영등포구,당산동5가,당산효성타운2차,180000,25.525607284387572,7051.742118985542,2.0,2001.0,25.0
2026-01-02,송파구,가락동,헬리오시티,314000,25.710137036028677,12213.08153900459,11.0,2018.0,8.0
2026-01-02,용산구,문배동,이안용산1차(101동),127000,25.698036724445657,4942.01177163037,3.0,2005.0,21.0
2026-01-02,성동구,행당동,서울숲 한신 더 휴,165500,18.123241673473093,9131.920380570857,12.0,2003.0,23.0
2026-01-02,중랑구,상봉동,"엘지,쌍용아파트",62500,20.60683062588862,3032.974897240164,3.0,1996.0,30.0
2026-01-02,동대문구,용두동,용두롯데캐슬리치,108000,18.09813352693832,5967.466194193257,15.0,2015.0,11.0
2026-01-02,성동구,옥수동,옥수파크힐스101동~116동,225000,18.114166439785826,12421.217434869739,4.0,2016.0,10.0
2026-01-02,광진구,자양동,자양8차현대홈타운,192000,24.34280182714705,7887.341866534112,9.0,2002.0,24.0
2026-01-02,서초구,방배동,임광,297000,41.25601234231782,7198.95072591289,10.0,1985.0,41.0
2026-01-02,성동구,응봉동,신동아,122000,18.14139214084763,6724.952476238119,8.0,1996.0,30.0
